Time;Temp_max
0;50
0,5;50
1;50
1,5;50
2;50
2,5;50
3;50
3,5;50
4;50
4,5;50
5;50
5,5;50
6;50
6,5;50
7;50
7,5;50
8;50
8,5;50
9;50
9,5;50
10;50
10,5;50
11;50
11,5;50
12;50
12,5;50
13;50
13,5;50
14;50
14,5;50
15;50
15,5;50
16;50
16,5;50
17;50
17,5;50
18;50
18,5;50
19;50
19,5;50
20;50
20,5;50
21;50
21,5;50
22;50
22,5;50
23;50
23,5;50
24;50
24,5;50
25;50
25,5;50
26;50
26,5;50
27;50
27,5;50
28;50
28,5;50
29;50
29,5;50
30;50
30,5;50
31;50
31,5;50
32;50
32,5;50
33;50
33,5;50
34;50
34,5;50
35;50
35,5;50
36;50
36,5;50
37;50
37,5;50
38;50
38,5;50
39;50
39,5;50
40;50
40,5;50
41;50
41,5;50
42;50
42,5;50
43;50
43,5;50
44;50
44,5;50
45;50
45,5;50
46;50
46,5;50
47;50
47,5;50
48;50
48,5;50
49;50
49,5;50
50;50
50,5;50
51;50
51,5;50
52;50
52,5;50
53;50
53,5;50
54;50
54,5;50
55;50
55,5;50
56;50
56,5;50
57;50
57,5;50
58;50
58,5;50
59;51,5
59,5;53
60;54,5
60,5;56
61;57,5
61,5;59
62;60,5
62,5;62
63;63,5
63,5;65
64;66,5
64,5;68
65;69,5
65,5;71
66;72,5
66,5;74
67;75,5
67,5;77
68;78,5
68,5;80
69;81,5
69,5;83
70;84,5
70,5;86
71;87,5
71,5;89
72;90,5
72,5;92
73;93,5
73,5;95
74;96,5
74,5;98
75;99,5
75,5;101
76;102,5
76,5;104
77;105,5
77,5;107
78;108,5
78,5;110
79;111,5
79,5;113
80;114,5
80,5;116
81;117,5
81,5;119
82;120,5
82,5;122
83;123,5
83,5;125
84;126,5
84,5;128
85;129,5
85,5;131
86;132,5
86,5;134
87;135,5
87,5;137
88;138,5
88,5;140
89;141,5
89,5;143
90;144,5
90,5;146
91;147,5
91,5;149
92;150
92,5;150,4
93;150,8
93,5;151,2
94;151,7
94,5;152,1
95;152,5
95,5;152,9
96;153,3
96,5;153,7
97;154,2
97,5;154,6
98;155
98,5;155,4
99;155,8
99,5;156,2
100;156,7
100,5;157,1
101;157,5
101,5;157,9
102;158,3
102,5;158,7
103;159,2
103,5;159,6
104;160
104,5;160,4
105;160,8
105,5;161,2
106;161,7
106,5;162,1
107;162,5
107,5;162,9
108;163,3
108,5;163,7
109;164,2
109,5;164,6
110;165
110,5;165,4
111;165,8
111,5;166,2
112;166,7
112,5;167,1
113;167,5
113,5;167,9
114;168,3
114,5;168,7
