Time;Temp_min
0;50
0,5;51,5
1;53
1,5;54,5
2;56
2,5;57,5
3;59
3,5;60,5
4;62
4,5;63,5
5;65
5,5;66,5
6;68
6,5;69,5
7;71
7,5;72,5
8;74
8,5;75,5
9;77
9,5;78,5
10;80
10,5;81,5
11;83
11,5;84,5
12;86
12,5;87,5
13;89
13,5;90,5
14;92
14,5;93,5
15;95
15,5;96,5
16;98
16,5;99,5
17;101
17,5;102,5
18;104
18,5;105,5
19;107
19,5;108,5
20;110
20,5;111,5
21;113
21,5;114,5
22;116
22,5;117,5
23;119
23,5;120,5
24;122
24,5;123,5
25;125
25,5;126,5
26;128
26,5;129,5
27;131
27,5;132,5
28;134
28,5;135,5
29;137
29,5;138,5
30;140
30,5;141,5
31;143
31,5;144,5
32;146
32,5;147,5
33;149
33,5;150
34;150,3
34,5;150,6
35;150,9
35,5;151,3
36;151,6
36,5;151,9
37;152,2
37,5;152,5
38;152,8
38,5;153,1
39;153,5
39,5;153,8
40;154,1
40,5;154,4
41;154,7
41,5;155
42;155,3
42,5;155,7
43;156
43,5;156,3
44;156,6
44,5;156,9
45;157,2
45,5;157,5
46;157,9
46,5;158,2
47;158,5
47,5;158,8
48;159,1
48,5;159,4
49;159,7
49,5;160,1
50;160,4
50,5;160,7
51;161
51,5;161,3
52;161,6
52,5;161,9
53;162,3
53,5;162,6
54;162,9
54,5;163,2
55;163,5
55,5;163,8
56;164,2
56,5;164,5
57;164,8
57,5;165,1
58;165,4
58,5;165,7
59;166
59,5;166,4
60;166,7
60,5;167
61;167,3
61,5;167,6
62;167,9
62,5;168,2
63;168,6
63,5;168,9
64;169,2
64,5;169,5
65;169,8
65,5;170,1
66;170,4
66,5;170,8
67;171,1
67,5;171,4
68;171,7
68,5;172
69;172,3
69,5;172,6
70;173
70,5;173,3
71;173,6
71,5;173,9
72;174,2
72,5;174,5
73;174,8
73,5;175,2
74;175,5
74,5;175,8
75;176,1
75,5;176,4
76;176,7
76,5;177
77;177,4
77,5;177,7
78;178
78,5;178,3
79;178,6
79,5;178,9
80;179,2
80,5;179,6
81;179,9
81,5;180,2
82;180,5
82,5;180,8
83;181,1
83,5;181,4
84;181,8
84,5;182,1
85;182,4
85,5;182,7
86;183
86,5;183,3
87;183,6
87,5;184
88;184,3
88,5;184,6
89;184,9
89,5;185,2
90;185,5
90,5;185,8
91;186,2
91,5;186,5
92;186,8
92,5;187,1
93;187,4
93,5;187,7
94;188,1
94,5;188,4
95;188,7
95,5;189
96;189,3
96,5;189,6
97;189,9
97,5;190,3
98;190,6
98,5;190,9
99;191,2
99,5;191,5
100;191,8
100,5;192,1
101;192,5
101,5;192,8
102;193,1
102,5;193,4
103;193,7
103,5;194
104;194,3
104,5;194,7
105;195
105,5;195,3
106;195,6
106,5;195,9
107;196,2
107,5;196,5
108;196,9
108,5;197,2
109;197,5
109,5;197,8
110;198,1
110,5;198,4
111;198,7
111,5;199,1
112;199,4
112,5;199,7
113;200
113,5;200,5
114;201
114,5;201,5
115;202
115,5;202,5
116;203
116,5;203,5
117;204
117,5;204,5
118;205
118,5;205,5
119;206
119,5;206,5
120;207
120,5;207,5
121;208
121,5;208,5
122;209
122,5;209,5
123;210
123,5;210,5
124;211
124,5;211,5
125;212
125,5;212,5
126;213
126,5;213,5
127;214
127,5;214,5
128;215
128,5;215,5
129;216
129,5;216,5
130;217
130,5;217,5
131;217,9
131,5;218,4
132;218,8
132,5;219,2
133;219,6
133,5;220,1
134;220,5
134,5;220,9
135;221,3
135,5;221,8
136;222,2
136,5;222,6
137;223
137,5;223,5
138;223,9
138,5;224,3
139;224,7
139,5;225,2
